evidence_id,claim_id,dataset,variant,mode,seeds,metric,mean,std,formatted,unit,source_file,paper_target,status,note
E_UNIFORM_WIDTH_AUX_OCCLUSION_50,C2,Houston2013,uniform_width_export,aux_occlusion_50,3,oa,0.849990,0.006654,85.00 +/- 0.67,ratio,docs/generated/brmnet_priority_summary.csv,Table: uniform-width export ablation,ready,Target-matched uniform-width export baseline; compare against learned nonuniform quality_multi_degradation_p025 export at the same 80% MAC budget.
E_DROPOUT_MAIN_ONLY,C3,Houston2013,full,main_only,3,oa,0.766227,0.008919,76.62 +/- 0.89,ratio,docs/generated/brmnet_priority_summary.csv,Table 2,ready,Compare with without_modality_dropout main_only row; full 3-seed refresh for no-dropout remains incomplete.
E_DROPOUT_AUX_ONLY,C3,Houston2013,full,aux_only,3,oa,0.438687,0.031940,43.87 +/- 3.19,ratio,docs/generated/brmnet_priority_summary.csv,Table 2,ready,Compare with without_modality_dropout aux_only row; full 3-seed refresh for no-dropout remains incomplete.
E_FUSION_MASK_MAIN_ONLY,C3,Houston2013,without_fusion_availability_mask,main_only,3,oa,0.767156,0.029708,76.72 +/- 2.97,ratio,docs/generated/brmnet_priority_summary.csv,Table 2,ready,Disables only the fusion softmax availability mask; compare against quality_multi_degradation_p025 main_only.
E_FUSION_MASK_AUX_ONLY,C3,Houston2013,without_fusion_availability_mask,aux_only,3,oa,0.375939,0.034092,37.59 +/- 3.41,ratio,docs/generated/brmnet_priority_summary.csv,Table 2,ready,Disables only the fusion softmax availability mask; branch-level availability-conditioned computation remains enabled.
E_ROBUST_FULL_BASELINE_FULL,C4,Houston2013,full,full,3,oa,0.869749,0.007092,86.97 +/- 0.71,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Full baseline
E_ROBUST_FULL_BASELINE_AUX_NOISE_HIGH,C4,Houston2013,full,aux_noise_high,3,oa,0.720778,0.014487,72.08 +/- 1.45,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Full baseline
E_ROBUST_FULL_BASELINE_AUX_DOWNSAMPLE_4,C4,Houston2013,full,aux_downsample_4,3,oa,0.783717,0.019104,78.37 +/- 1.91,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Full baseline
E_ROBUST_FULL_BASELINE_AUX_OCCLUSION_50,C4,Houston2013,full,aux_occlusion_50,3,oa,0.742122,0.056384,74.21 +/- 5.64,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Full baseline
E_ROBUST_UNIFORM_FULL,C4,Houston2013,without_reliability_uniform_fusion,full,3,oa,0.867180,0.006020,86.72 +/- 0.60,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Uniform fusion baseline; not a uniform-width baseline.
E_ROBUST_UNIFORM_AUX_NOISE_HIGH,C4,Houston2013,without_reliability_uniform_fusion,aux_noise_high,3,oa,0.770080,0.034972,77.01 +/- 3.50,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Uniform fusion baseline; not a uniform-width baseline.
E_ROBUST_UNIFORM_AUX_DOWNSAMPLE_4,C4,Houston2013,without_reliability_uniform_fusion,aux_downsample_4,3,oa,0.783471,0.020507,78.35 +/- 2.05,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Uniform fusion baseline; not a uniform-width baseline.
E_ROBUST_UNIFORM_AUX_OCCLUSION_50,C4,Houston2013,without_reliability_uniform_fusion,aux_occlusion_50,3,oa,0.738734,0.025475,73.87 +/- 2.55,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Uniform fusion baseline; not a uniform-width baseline.
E_ROBUST_NOISE_ONLY_FULL,C4,Houston2013,quality_degradation_supervised,full,3,oa,0.874532,0.009458,87.45 +/- 0.95,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Noise-only quality supervision.
E_ROBUST_NOISE_ONLY_AUX_NOISE_HIGH,C4,Houston2013,quality_degradation_supervised,aux_noise_high,3,oa,0.851494,0.014486,85.15 +/- 1.45,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Noise-only quality supervision.
E_ROBUST_NOISE_ONLY_AUX_DOWNSAMPLE_4,C4,Houston2013,quality_degradation_supervised,aux_downsample_4,3,oa,0.801427,0.029763,80.14 +/- 2.98,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Noise-only quality supervision.
E_ROBUST_NOISE_ONLY_AUX_OCCLUSION_50,C4,Houston2013,quality_degradation_supervised,aux_occlusion_50,3,oa,0.733240,0.023957,73.32 +/- 2.40,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Noise-only quality supervision.
E_ROBUST_MULTI_P025_FULL,C4,Houston2013,quality_multi_degradation_p025,full,3,oa,0.868984,0.016550,86.90 +/- 1.65,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Selected light multi-degradation schedule.
E_ROBUST_MULTI_P025_AUX_NOISE_HIGH,C4,Houston2013,quality_multi_degradation_p025,aux_noise_high,3,oa,0.845536,0.028192,84.55 +/- 2.82,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Selected light multi-degradation schedule.
E_ROBUST_MULTI_P025_AUX_DOWNSAMPLE_4,C4,Houston2013,quality_multi_degradation_p025,aux_downsample_4,3,oa,0.841491,0.014594,84.15 +/- 1.46,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Selected light multi-degradation schedule.
E_ROBUST_MULTI_P025_AUX_OCCLUSION_50,C4,Houston2013,quality_multi_degradation_p025,aux_occlusion_50,3,oa,0.855702,0.016408,85.57 +/- 1.64,ratio,docs/generated/brmnet_priority_summary.csv,Table 3 / Figure 3,ready,Selected light multi-degradation schedule.
E_MULTI_HOUSTON2013,C5,Houston2013,80% p=0.25 multi-degradation compact model,full,3,full_oa,0.868984,0.016550,86.90 +/- 1.65,ratio,docs/generated/multidataset_detailed_proposed_summary.csv,Table 4,ready,Main-only 80.04 +/- 1.93; Aux-only 38.04 +/- 0.84; Occlusion50 85.57 +/- 1.64; MACs 80.01 +/- 0.13.
E_MULTI_TRENTO,C5,Trento,80% p=0.25 multi-degradation compact model,full,3,full_oa,0.989431,0.009387,98.94 +/- 0.94,ratio,docs/generated/multidataset_detailed_proposed_summary.csv,Table 4,ready,Main-only 92.89 +/- 3.15; Aux-only 69.80 +/- 17.02; Occlusion50 98.16 +/- 1.87; MACs 79.90 +/- 0.10.
E_MULTI_MUUFL,C5,MUUFL,80% p=0.25 multi-degradation compact model,full,3,full_oa,0.868673,0.017890,86.87 +/- 1.79,ratio,docs/generated/multidataset_detailed_proposed_summary.csv,Table 4,ready,Main-only 83.03 +/- 2.14; Aux-only 57.20 +/- 2.14; Occlusion50 85.99 +/- 2.08; MACs 79.97 +/- 0.07.
